Subject,Question,A,B,C,D,Answer
Rajasthan GK,'ब्लू पॉटरी' (Blue Pottery) के लिए प्रसिद्ध जिला कौन सा है?,जयपुर,कोटा,अलवर,भरतपुर,a
Rajasthan GK,सरिस्का टाइगर रिजर्व किस जिले में है?,अलवर,भरतपुर,सवाई माधोपुर,धौलपुर,a
Rajasthan GK,'मावट' क्या है?,शीतऋतु में होने वाली वर्षा,ग्रीष्मऋतु में वर्षा,चक्रवात,धूल भरी आंधी,a
Rajasthan GK,पाकिस्तान के साथ राजस्थान के कितने जिले सीमा बनाते हैं? (पुराने अनुसार),2,4,6,5,b
Rajasthan GK,राजस्थान की सबसे लंबी नहर कौन सी है?,गंग नहर,इंदिरा गांधी नहर,भरतपुर नहर,गुड़गांव नहर,b
Rajasthan GK,'गोविंद देव जी' का मंदिर कहां स्थित है?,जयपुर,वृंदावन,मथुरा,सीकर,a
Rajasthan GK,चित्तौड़गढ़ में 'विजय स्तंभ' का निर्माण किसने करवाया?,राणा कुंभा,राणा सांगा,राणा प्रताप,राणा हम्मीर,a
Rajasthan GK,'विश्नोई' संप्रदाय के प्रवर्तक कौन थे?,जाम्भोजी,जसनाथजी,दादूदयाल,रामचरण,a
Rajasthan GK,भील जनजाति मुख्य रूप से किस क्षेत्र में निवास करती है?,पूर्वी राजस्थान,दक्षिणी राजस्थान,पश्चिमी राजस्थान,उत्तरी राजस्थान,b
Rajasthan GK,राजस्थान की प्रथम महिला मुख्यमंत्री कौन थीं?,वसुंधरा राजे,कमला बेनीवाल,प्रतिभा पाटिल,गिरिजा व्यास,a
Rajasthan GK,'बावड़ियों का शहर' (City of Stepwells) किसे कहते हैं?,बूंदी,कोटा,जयपुर,जोधपुर,a
Rajasthan GK,राष्ट्रीय सरसों अनुसंधान केंद्र कहां स्थित है?,सेवर (भरतपुर),अलवर,जयपुर,टोंक,a
Rajasthan GK,पंचायती राज व्यवस्था का शुभारंभ राजस्थान के किस जिले से हुआ?,नागौर,जयपुर,अजमेर,उदयपुर,a
Rajasthan GK,नागौर जिला किस मेले के लिए प्रसिद्ध है?,पशु मेला,पुस्तक मेला,विज्ञान मेला,हस्तशिल्प मेला,a
Rajasthan GK,चंबल नदी किन राज्यों के मध्य सीमा बनाती है?,राजस्थान-गुजरात,राजस्थान-मध्यप्रदेश,राजस्थान-पंजाब,राजस्थान-हरियाणा,b
Rajasthan GK,अरावली पर्वतमाला किस प्रकार की पर्वतमाला है?,वलित (Folded),ब्लॉक,ज्वालामुखी,अवशिष्ट,d
Rajasthan GK,मंडोर के 'वीरों का दालान' (Hall of Heroes) कहां है?,जोधपुर,जयपुर,बीकानेर,जैसलमेर,a
Rajasthan GK,'कैमल मैन' (Camel Man) के नाम से किसे जाना जाता है?,अशोक टांक,कैलाश सांखला,अमृता देवी,सुंदरलाल बहुगुणा,a
Rajasthan GK,ईसबगोल का सर्वाधिक उत्पादन किस जिले में होता है?,जालोर,सिरोही,बाड़मेर,पाली,a
Rajasthan GK,बूंदी चित्र शैली किसके लिए प्रसिद्ध है?,पशु-पक्षियों के चित्रण के लिए,प्राकृतिक दृश्यों के लिए,धार्मिक चित्रों के लिए,शिकार दृश्यों के लिए,a
Rajasthan GK,'चोखी ढाणी' कहां स्थित है?,जयपुर,जोधपुर,उदयपुर,कोटा,a
Rajasthan GK,'केसरिया बालम आवो नी पधारो म्हारे देश' गीत किसने गाया?,अल्लाह जिलाई बाई,गवरी बाई,मांगी बाई,फलकू बाई,a
Rajasthan GK,क्षेत्रफल की दृष्टि से सबसे छोटा जिला कौन सा है (पुराना)?,धौलपुर,दौसा,डूंगरपुर,राजसमंद,a
Rajasthan GK,रणथंभौर दुर्ग कहां स्थित है?,सवाई माधोपुर,अलवर,करौली,भरतपुर,a
Rajasthan GK,आनासागर झील का निर्माण किसने करवाया?,अर्णोराज (आनाजी),पृथ्वीराज तृतीय,अजयराज,सोमेश्वर,a
Rajasthan GK,राजस्थान का 'नागपुर' किसे कहते हैं?,झालावाड़,कोटा,बारां,बूंदी,a
Rajasthan GK,84 खंभों की छतरी कहां स्थित है?,बूंदी,अलवर,कोटा,झालावाड़,a
Rajasthan GK,जगदीश मंदिर कहां स्थित है?,उदयपुर,जयपुर,कोटा,अलवर,a
Rajasthan GK,कौन से लोक देवता 'लाछा गुजरी' से संबंधित हैं?,तेजाजी,पाबूजी,रामदेवजी,गोगाजी,a
Rajasthan GK,दादूपंथ की प्रमुख पीठ कहां स्थित है?,नरेना (जयपुर),सांगानेर,आमेर,चौमू,a
Rajasthan GK,मेहरानगढ़ दुर्ग किस पहाड़ी पर स्थित है?,चिड़ियाटूक पहाड़ी,त्रिकूट पहाड़ी,हर्ष पर्वत,नाग पहाड़,a
Rajasthan GK,राजस्थान में 'ब्रह्मा जी' का दूसरा मंदिर कहां है?,आसोतरा (बाड़मेर),पुष्कर,ब्यावर,किराडू,a
Rajasthan GK,माउंट आबू को 'राजस्थान का शिमला' किसने कहा?,कर्नल जेम्स टॉड,जॉर्ज थॉमस,अबुल फजल,ह्वेनसांग,a
Rajasthan GK,राजस्थान का राज्य वाद्य यंत्र कौन सा है?,अलगोजा,शहनाई,ढोलक,बांसुरी,a
