Subject,Question,A,B,C,D,Answer
English,She has been sleeping ___ two hours.,since,for,from,in,b
English,He has been living here ___ 1990.,since,for,from,in,a
English,Passive Voice: 'Open the window.',Let the window be opened,The window should open,Let the window opened,Open the window please,a
English,Indirect Speech: He said to me, 'Are you happy?',He asked me that I was happy,He asked me if I was happy,He told me if I was happy,He asked me if I am happy,b
English,Synonym of 'Wealth' is:,Poverty,Riches,Health,Need,b
English,Antonym of 'Empty' is:,Vacant,Full,Hollow,Blank,b
English,One word: 'A period of 100 years',Decade,Century,Millennium,Year,b
English,One word: 'One who cannot speak',Deaf,Dumb,Blind,Lame,b
English,Correct spelling:,Twelfth,Twelth,Twelveth,Twelf,a
English,Spot the error: 'Physics / are / a difficult subject.',Physics,are,a difficult subject,No error,b
English,Spot the error: 'Unless you do not work hard / you will / fail.',Unless you do not work hard,you will,fail,No error,a
English,Fill in the blank: The police ___ coming.,is,are,was,has,b
English,Fill in the blank: Five miles ___ a long distance.,are,is,were,have,b
English,Which is a proper noun?,Boy,City,Jaipur,Book,c
English,Which is a collective noun?,Team,Player,Ball,Stadium,a
English,Past participle of 'Go' is:,Went,Gone,Going,Goes,b
English,Past participle of 'Write' is:,Wrote,Written,Writing,Writes,b
English,Comparative degree of 'Good' is:,Best,Better,Gooder,More good,b
English,Superlative degree of 'Bad' is:,Worse,Worst,Badder,Most bad,b
English,He is junior ___ me.,than,from,to,by,c
English,She died ___ overeating.,of,from,by,with,b
English,Synonym of 'Alert' is:,Lazy,Watchful,Sleepy,Slow,b
English,Antonym of 'Optimist' is:,Pessimist,Activist,Realist,Artist,a
English,One word: 'Murder of oneself',Suicide,Homicide,Patricide,Regicide,a
English,Correct spelling:,Lieutenant,Leftenant,Lieutnant,Leutanent,a
English,Choose the correct conjunction: Run fast ___ you will miss the train.,or,and,but,so,a
