Subject,Question,A,B,C,D,Answer
PTET GK,राजस्थान का प्रवेश द्वार किसे कहते हैं?,जयपुर,भरतपुर,धौलपुर,अलवर,b
PTET GK,संसद के संयुक्त सत्र की अध्यक्षता कौन करता है?,राष्ट्रपति,लोकसभा अध्यक्ष,उपराष्ट्रपति,प्रधानमंत्री,b
PTET GK,गणगौर त्यौहार कितने दिनों तक मनाया जाता है?,15,18,16,20,b
PTET GK,भारत की स्थलीय सीमा किस देश से सबसे ज्यादा लगती है?,चीन,पाकिस्तान,बांग्लादेश,नेपाल,c
PTET GK,राजस्थान में परमाणु बिजली घर कहां है?,कोटा,रावतभाटा,सूरतगढ़,बांसवाड़ा,b
PTET GK,वायुमंडल में सबसे अधिक गैस कौन सी है?,ऑक्सीजन,नाइट्रोजन,कार्बन डाइऑक्साइड,आर्गन,b
PTET GK,चित्तौड़गढ़ का किला किसने बनवाया (प्रारंभिक)?,चित्रांगद मौर्य,बप्पा रावल,कुंभा,सांगा,a
PTET GK,भारत में मतदान की न्यूनतम आयु क्या है?,21 वर्ष,18 वर्ष,25 वर्ष,35 वर्ष,b
PTET GK,राजस्थान का स्कॉटलैंड किसे कहते हैं?,जयपुर,अलवर,उदयपुर,जोधपुर,b
PTET GK,गुप्त काल में प्रसिद्ध गणितज्ञ कौन थे?,कालिदास,आर्यभट्ट,वराहमिहिर,चरक,b
PTET GK,लोकसभा का चुनाव लड़ने के लिए न्यूनतम आयु?,25 वर्ष,30 वर्ष,35 वर्ष,21 वर्ष,a
PTET GK,मीराबाई के पति का नाम क्या था?,भोजराज,राणा सांगा,विक्रमादित्य,रतन सिंह,a
PTET GK,कर्क रेखा भारत के कितने राज्यों से गुजरती है?,7,8,9,6,b
PTET GK,सांभर झील किस जिले में है?,जयपुर,नागौर,अजमेर,सभी (सीमा पर),a (प्रशासनिक रूप से जयपुर)
PTET GK,भारत का राष्ट्रगीत 'वंदे मातरम्' किसने लिखा?,रवींद्रनाथ टैगोर,बंकिम चंद्र चटर्जी,प्रेमचंद,निराला,b
PTET GK,राजस्थान का 'नागपुर' (संतरा उत्पादन के कारण) किसे कहते हैं?,कोटा,झालावाड़,बांसवाड़ा,बारां,b
PTET GK,सत्यमेव जयते कहां से लिया गया है?,ऋग्वेद,मुंडकोपनिषद,रामायण,महाभारत,b
PTET GK,रामदेवरा का मेला किस लोक देवता को समर्पित है?,गोगाजी,रामदेवजी,पाबूजी,तेजाजी,b
PTET GK,भारत का राष्ट्रीय पशु?,शेर,बाघ (Tiger),हाथी,गाय,b
PTET GK,राजस्थान में सीमेंट का प्रथम कारखाना कहां खुला?,लाखेरी (बूंदी),ब्यावर,चित्तौड़गढ़,कोटा,a
PTET GK,शिक्षक दिवस कब मनाया जाता है?,14 नवंबर,5 सितंबर,2 अक्टूबर,15 अगस्त,b
