Subject,Question,A,B,C,D,Answer
Teaching Aptitude,कक्षा में प्रश्न पूछने का मुख्य उद्देश्य क्या है?,छात्रों का ज्ञान परीक्षण और जिज्ञासा जगाना,समय बिताना,छात्रों को नीचा दिखाना,अनुशासन बनाना,a
Teaching Aptitude,यदि कोई छात्र आपसे ऐसा प्रश्न पूछता है जिसका उत्तर आपको नहीं आता?,उसे डांटकर बैठा देंगे,गलत उत्तर देंगे,स्वीकार करेंगे और कल बताएंगे,प्रश्न को मूर्खतापूर्ण कहेंगे,c
Teaching Aptitude,सामाजिक रूप से परिपक्व व्यक्ति का लक्षण है?,गुस्सैल,संवेगात्मक स्थिरता,एकांतप्रिय,स्वार्थी,b
Teaching Aptitude,एनसीसी (NCC) और एनएसएस (NSS) का विद्यालय में क्या महत्व है?,मनोरंजन,नेतृत्व और समाज सेवा का विकास,समय की बर्बादी,केवल व्यायाम,b
Teaching Aptitude,आप शिक्षक क्यों बनना चाहते हैं?,ट्यूशन पढ़ाने के लिए,समाज सेवा और शिक्षण में रुचि के कारण,अधिक छुट्टियों के लिए,आसान नौकरी के लिए,b
Teaching Aptitude,बालिकाओं की शिक्षा क्यों आवश्यक है?,वे घर संभालती हैं,वे समाज का आधा हिस्सा हैं और एक लड़की शिक्षित होकर पूरे परिवार को शिक्षित करती है,वे नौकरी कर सकती हैं,वे लड़कों से होशियार होती हैं,b
Teaching Aptitude,यदि आपके साथी शिक्षक आपकी आलोचना करते हैं?,लड़ाई करेंगे,प्रधानाचार्य से शिकायत करेंगे,आत्म-निरीक्षण करेंगे और सुधारेंगे,बदला लेंगे,c
Teaching Aptitude,बुनियादी शिक्षा (Basic Education) का विचार किसने दिया?,गांधी जी,नेहरू जी,टैगोर,विवेकानंद,a
Teaching Aptitude,कक्षा में पाठ शुरू करने से पहले क्या करना चाहिए?,भाषण देना चाहिए,पूर्व ज्ञान पर आधारित प्रश्न पूछने चाहिए,सीधे पढ़ाना चाहिए,दंड देना चाहिए,b
Teaching Aptitude,श्रव्य-दृश्य सामग्री (Audio-Visual Aids) कौन सी है?,रेडियो,टेप रिकॉर्डर,टेलीविजन,चार्ट,c
Teaching Aptitude,यदि छात्र कक्षा में शोर मचा रहे हैं?,आप चिल्लाएंगे,कहानी सुनाएंगे या रोचक गतिविधि कराएंगे,बाहर चले जाएंगे,मॉनिटर को दंड देंगे,b
Teaching Aptitude,सतत शिक्षा (Continuing Education) का क्या अर्थ है?,जीवन भर सीखना,स्कूल जाना,कॉलेज जाना,परीक्षा देना,a
Teaching Aptitude,एक प्रभावी नेता के लिए क्या आवश्यक है?,धन,शारीरिक बल,उत्तम संचार और निर्णय क्षमता,कठोरता,c
Teaching Aptitude,यदि कोई छात्र परीक्षा में फेल हो जाता है तो यह किसकी असफलता है?,छात्र की,शिक्षक और व्यवस्था की,किस्मत की,माता-पिता की,b
Teaching Aptitude,विद्यालय समाज का क्या है?,लघु रूप,विरोधी,अलग हिस्सा,कोई नहीं,a
Teaching Aptitude,समावेशी शिक्षा (Inclusive Education) का अर्थ है?,विकलांगों के लिए अलग स्कूल,सभी प्रकार के बच्चों को एक ही छत के नीचे शिक्षा,केवल होशियार बच्चों की शिक्षा,गरीब बच्चों की शिक्षा,b
Teaching Aptitude,शिक्षक को कक्षा में कैसा वस्त्र पहनना चाहिए?,फैशनेबल,भड़कीला,शालीन और साफ-सुथरा,महंगा,c
Teaching Aptitude,आपकी राय में शिक्षा का स्तर गिरने का मुख्य कारण?,छात्रों की लापरवाही,योग्य शिक्षकों की कमी और दोषपूर्ण परीक्षा प्रणाली,राजनीति,मोबाइल,b
Teaching Aptitude,प्रौढ़ शिक्षा (Adult Education) किनके लिए है?,बच्चों के लिए,निरक्षर वयस्कों के लिए,वृद्धों के लिए,कॉलेज छात्रों के लिए,b
Teaching Aptitude,यदि आपको दूरदराज के गांव में नियुक्त किया जाए?,मना कर देंगे,छुट्टी ले लेंगे,चुनौती स्वीकार करेंगे और वहां शिक्षा फैलाएंगे,इस्तीफा देंगे,c
Teaching Aptitude,कक्षा में नेतृत्व कौन करता है?,शिक्षक,मॉनिटर,प्रधानाचार्य,सबसे शरारती छात्र,a (शिक्षक ही मुख्य नेता होता है)
Teaching Aptitude,छात्र सबसे ज्यादा किससे सीखते हैं?,सुनकर,पढ़कर,करके (Learning by Doing),देखकर,c
Teaching Aptitude,पर्यावरण शिक्षा क्यों आवश्यक है?,प्रदूषण रोकने और जागरूकता के लिए,परीक्षा पास करने के लिए,पेड़ लगाने के लिए,सरकार के आदेश के कारण,a
Teaching Aptitude,एक अच्छे प्रश्न पत्र की विशेषता है?,वैधता,विश्वसनीयता,वस्तुनिष्ठता,उपर्युक्त सभी,d
Teaching Aptitude,यदि छात्र होमवर्क करके नहीं लाता है?,उसे कक्षा से बाहर निकालें,कारण जानें और अवसर दें,माता-पिता को बुलाएं,नजरअंदाज करें,b
Teaching Aptitude,सहानुभूति (Sympathy) और तदानुभूति (Empathy) में क्या श्रेष्ठ है?,सहानुभूति,तदानुभूति (दूसरे की जगह खुद को रखकर समझना),दोनों बेकार,सहानुभूति बेहतर है,b
Teaching Aptitude,विद्यालय में खेलों का आयोजन क्यों जरूरी है?,समय काटने के लिए,शारीरिक और मानसिक विकास के लिए,खिलाड़ी बनाने के लिए,नाम कमाने के लिए,b
Teaching Aptitude,शिक्षक और छात्र के बीच संबंध कैसा होना चाहिए?,पिता-पुत्र जैसा,दोस्त जैसा,गरिमापूर्ण और सम्मानजनक,व्यावसायिक,c
Teaching Aptitude,यदि कक्षा में कोई विकलांग छात्र है तो आप?,उसे पीछे बैठाएंगे,उसे विशेष सुविधा और प्रोत्साहन देंगे,उसे स्कूल बदलने को कहेंगे,दया दिखाएंगे,b
Teaching Aptitude,राष्ट्रीय एकता (National Integration) के लिए शिक्षक क्या कर सकता है?,भाषण दे सकता है,जातिवाद फैला सकता है,सभी धर्मों का सम्मान और एकता का पाठ पढ़ा सकता है,राजनीति कर सकता है,c
Teaching Aptitude,माइक्रो टीचिंग (Micro Teaching) किसके लिए है?,छात्रों के लिए,प्रशिक्षु शिक्षकों (B.Ed/BSTC) के लिए,अनुभवी शिक्षकों के लिए,प्रधानाचार्य के लिए,b
Teaching Aptitude,शिक्षक दिवस (5 सितंबर) क्यों मनाया जाता है?,नेहरू जी के जन्मदिन पर,राधाकृष्णन जी के जन्मदिन पर,गांधी जी के जन्मदिन पर,टैगोर के जन्मदिन पर,b
Teaching Aptitude,10+2+3 शिक्षा प्रणाली का सुझाव किसने दिया?,कोठारी आयोग,मुदालियर आयोग,राधाकृष्णन आयोग,नई शिक्षा नीति,a
Teaching Aptitude,आप अपने खाली समय का उपयोग कैसे करेंगे?,सोकर,गप्पे मारकर,किताबें पढ़कर या ज्ञानवर्धक कार्य करके,घूमकर,c
Teaching Aptitude,यदि कोई छात्र चोरी करता है?,पुलिस को देंगे,सबके सामने अपमानित करेंगे,अकेले में कारण जानकर सुधारेंगे,स्कूल से निकाल देंगे,c
Teaching Aptitude,साक्षरता अभियान में छात्र कैसे मदद कर सकते हैं?,स्वयं पढ़कर,अनपढ़ों को पढ़ाकर,नारे लगाकर,चंदा देकर,b
Teaching Aptitude,कौन सा गुण शिक्षक के लिए सबसे कम महत्वपूर्ण है?,विषय ज्ञान,धैर्य,सुंदरता,संचार कौशल,c
Teaching Aptitude,शिक्षण एक प्रक्रिया है?,द्विध्रुवीय,त्रिध्रुवीय (शिक्षक-छात्र-पाठ्यक्रम),एकध्रुवीय,बहुध्रुवीय,b
Teaching Aptitude,यदि छात्र आपकी कक्षा में उपस्थित नहीं होते?,आप कारण जानेंगे और सुधार करेंगे,आप उन्हें फेल करेंगे,आप प्रिंसिपल से कहेंगे,आप खुश होंगे,a
Teaching Aptitude,पुस्तकालय (Library) का उपयोग कैसे बढ़ाया जा सकता है?,किताबें सजाकर,छात्रों को पढ़ने के लिए प्रेरित करके,नियम कड़े करके,बंद रखकर,b
Teaching Aptitude,एक अंतर्मुखी (Introvert) छात्र को आप कैसे मदद करेंगे?,उसे अकेला छोड़ देंगे,उसे समूह गतिविधियों में भाग लेने के लिए प्रेरित करेंगे,उसे डांटेंगे,उसका मजाक उड़ाएंगे,b
Teaching Aptitude,ब्लैकबोर्ड पर लिखते समय सबसे महत्वपूर्ण क्या है?,सुंदर लिखावट (Legibility),रंगीन चॉक,जल्दी लिखना,छोटे अक्षर,a
Teaching Aptitude,नई शिक्षा नीति (NEP 2020) किस पर जोर देती है?,रटने पर,कौशल विकास और व्यावहारिक ज्ञान पर,केवल परीक्षा पर,अंग्रेजी पर,b
Teaching Aptitude,यदि छात्र गुटबाजी (Groupism) करते हैं?,आप एक गुट का साथ देंगे,आप इसे अनदेखा करेंगे,आप समानता और एकता का माहौल बनाएंगे,आप प्रिंसिपल को बताएंगे,c
Teaching Aptitude,कक्षा नायक (Monitor) का चयन किस आधार पर होना चाहिए?,शारीरिक बल,होशियारी और नेतृत्व गुण,धन,शिक्षक का चहेता,b
Teaching Aptitude,टीचिंग एप्टीट्यूड का मतलब है?,पढ़ाने की इच्छा,शिक्षण कार्य के प्रति अभिरुचि और क्षमता,विषय का ज्ञान,डिग्री,b
Teaching Aptitude,बालक का प्रथम विद्यालय कौन सा है?,आंगनबाड़ी,परिवार,प्राथमिक विद्यालय,प्ले स्कूल,b
Teaching Aptitude,यदि कोई छात्र हकलाता है?,उसे बोलने नहीं देंगे,धैर्यपूर्वक सुनेंगे और आत्मविश्वास बढ़ाएंगे,उसकी नकल उतारेंगे,इलाज करवाएंगे,b
Teaching Aptitude,शिक्षा का अधिकार अधिनियम (RTE) कब लागू हुआ?,2009,2010 (1 अप्रैल),2005,2002,b
Teaching Aptitude,दिव्यांग छात्रों के लिए कौन सा शब्द बेहतर है?,विकलांग,अपाहिज,विशेष आवश्यकता वाले बच्चे (CWSN),बेचारे,c
Teaching Aptitude,सामूहिक चर्चा (Group Discussion) से क्या लाभ है?,समय की बर्बादी,विचारों का आदान-प्रदान और आत्मविश्वास,शोरगुल,दुश्मनी,b
Teaching Aptitude,यदि आपकी कक्षा में विभिन्न धर्मों के छात्र हैं?,आप अपने धर्म का प्रचार करेंगे,आप धर्मनिरपेक्षता का पालन करेंगे,आप भेदभाव करेंगे,आप धर्म की बात नहीं करेंगे,b
Teaching Aptitude,मूल्यांकन का मुख्य उद्देश्य है?,पास-फेल करना,सीखने के स्तर में सुधार,डर पैदा करना,प्रमाण पत्र देना,b
Teaching Aptitude,श्यामपट्ट (Blackboard) शिक्षक का क्या है?,दुश्मन,दायां हाथ (Right Hand/Mitra),मालिक,नौकर,b
Teaching Aptitude,शिक्षक को कक्षा में प्रवेश करते समय कैसा दिखना चाहिए?,तनावमुक्त और प्रसन्न,गुस्से में,थका हुआ,व्यस्त,a
Teaching Aptitude,यदि कोई छात्र आपको उपहार देता है?,महंगा उपहार लेंगे,मना कर देंगे,प्रेमपूर्वक स्वीकार करेंगे (साधारण),पैसे मांगेंगे,c (भावनात्मक रूप से स्वीकार करें लेकिन महंगा नहीं)
Teaching Aptitude,समय सारिणी (Time Table) क्यों जरूरी है?,दिखावे के लिए,नियमितता और अनुशासन के लिए,शिक्षक को फंसाने के लिए,बच्चों को थकाने के लिए,b
Teaching Aptitude,प्रोजेक्ट विधि (Project Method) के जनक कौन हैं?,किलपैट्रिक,हर्बर्ट,अरस्तु,प्लेटो,a
Teaching Aptitude,यदि छात्र कक्षा में सो रहा है?,चौक फेंकेंगे,उसे जगाकर कारण पूछेंगे (तबीयत आदि),बाहर निकाल देंगे,सोने देंगे,b
Teaching Aptitude,नैतिक विकास के लिए सबसे जरूरी है?,अच्छे कपड़े,अच्छे विचार और आचरण,अच्छा खाना,पैसा,b
Teaching Aptitude,प्राथमिक स्तर पर मातृभाषा में शिक्षा क्यों बेहतर है?,यह आसान है,यह स्वाभाविक है और समझ बढ़ाता है,अंग्रेजी कठिन है,शिक्षक को अंग्रेजी नहीं आती,b
Teaching Aptitude,यदि आपको चुनाव ड्यूटी में लगाया जाए?,मना करेंगे,बेमन से जाएंगे,जिम्मेदारी से निभाएंगे,बीमारी का बहाना बनाएंगे,c
Teaching Aptitude,एक अच्छा नागरिक बनाने के लिए आप क्या करेंगे?,राजनीति सिखाएंगे,कर्तव्यों और अधिकारों का ज्ञान देंगे,लड़ना सिखाएंगे,विदेश भेजेंगे,b
Teaching Aptitude,लड़कियों और लड़कों में भेदभाव करना कहलाता है?,लैंगिक समानता,लैंगिक पूर्वाग्रह (Gender Bias),नारीवाद,आधुनिकीकरण,b
Teaching Aptitude,कक्षा में बैठने की व्यवस्था कैसी होनी चाहिए?,लम्बाई के अनुसार,बुद्धि के अनुसार,आवश्यकतानुसार और रोटेशन पद्धति,जाति के अनुसार,c
Teaching Aptitude,बाल दिवस कब मनाया जाता है?,14 नवंबर,5 सितंबर,2 अक्टूबर,15 अगस्त,a
Teaching Aptitude,यदि कोई छात्र आपकी नकल उतारता है?,उसे पीटेंगे,बुरा नहीं मानेंगे और सुधारेंगे,प्रिंसिपल के पास ले जाएंगे,कक्षा से निकाल देंगे,b
Teaching Aptitude,सह-पाठ्यचर्या गतिविधियां (Co-curricular activities) क्यों जरूरी हैं?,सर्वांगीण विकास के लिए,केवल मनोरंजन के लिए,पढ़ाई से बचने के लिए,फीस लेने के लिए,a
Teaching Aptitude,गांधीजी की 'वर्धा योजना' किससे संबंधित थी?,उच्च शिक्षा,बुनियादी शिक्षा (Basic Education),तकनीकी शिक्षा,विदेशी शिक्षा,b
Teaching Aptitude,अधिगम (Learning) का मतलब है?,याद करना,व्यवहार में स्थायी परिवर्तन,किताब पढ़ना,परीक्षा पास करना,b
Teaching Aptitude,यदि कोई छात्र बहुत प्रश्न पूछता है?,उसे चुप करा देंगे,उसे जिज्ञासु मानकर प्रोत्साहित करेंगे,उसे क्लास से बाहर करेंगे,उसे मंदबुद्धि कहेंगे,b
Teaching Aptitude,विद्यालय का वातावरण कैसा होना चाहिए?,भयपूर्ण,स्वतंत्र और लोकतांत्रिक,कठोर,अराजक,b
Teaching Aptitude,निरंतर अनुपस्थित रहने वाले छात्र के लिए क्या करेंगे?,नाम काट देंगे,अभिभावक से संपर्क करेंगे,फाइन लगाएंगे,ध्यान नहीं देंगे,b
Teaching Aptitude,सर्वशिक्षा अभियान का उद्देश्य है?,6-14 वर्ष के सभी बच्चों को शिक्षा,केवल लड़कियों को शिक्षा,केवल शहरी बच्चों को शिक्षा,प्रौढ़ शिक्षा,a
Teaching Aptitude,यदि आप पढ़ा रहे हैं और प्रिंसिपल बुलाते हैं?,तुरंत चले जाएंगे,कक्षा को कार्य देकर जाएंगे,मना कर देंगे,कक्षा को वैसे ही छोड़ देंगे,b
Teaching Aptitude,टीएलएम (TLM) का पूरा नाम है?,Teaching Learning Material,Time Learning Money,Total Learning Method,Teaching Level Mode,a
Teaching Aptitude,बच्चों में झूठ बोलने की आदत कैसे छुड़ाएं?,मारकर,सच बोलने वाले को पुरस्कृत करके,झूठ बोलने को कहकर,इग्नोर करके,b
Teaching Aptitude,एक शिक्षक के रूप में आपकी सबसे बड़ी पूंजी क्या है?,वेतन,छात्रों का विश्वास और प्रेम,मकान,ज्ञान,b
Teaching Aptitude,यदि समाज में शिक्षक का सम्मान कम हो रहा है तो जिम्मेदार कौन?,सरकार,समाज,स्वयं शिक्षक (आचरण में गिरावट),मीडिया,c
Teaching Aptitude,कक्षा में ध्यान न देने वाले छात्र के लिए?,उसे आगे बैठाएंगे,उसे बाहर करेंगे,उसे पीटेंगे,उसे फेल करेंगे,a
Teaching Aptitude,कंप्यूटर शिक्षा विद्यालय में क्यों जरूरी है?,गेम खेलने के लिए,आधुनिक युग की मांग और कौशल विकास,फैशन के लिए,फीस बढ़ाने के लिए,b
